old_task_id,old_row_id,sample_id,old_status,new_solver,new_mode,new_task_id,new_status,new_failure_stage,input_relation
N1__inner__subject_09__0__0,13__center_fNIRS,eeg_fnirs_single_trial|subject_09|session_03|event=12|offset=-5.0|duration=30.0,failed_domain,O0,center_fNIRS,v3_S2__subject_09__1__13__O0,completed,,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N1__inner__subject_09__0__0,13__center_fNIRS,eeg_fnirs_single_trial|subject_09|session_03|event=12|offset=-5.0|duration=30.0,failed_domain,O1,center_fNIRS,v3_S2__subject_09__1__13__O1,failed_domain,linear_reference_mean_physical_check,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N1__inner__subject_09__0__0,13__center_fNIRS,eeg_fnirs_single_trial|subject_09|session_03|event=12|offset=-5.0|duration=30.0,failed_domain,O2,center_fNIRS,v3_S2__subject_09__1__13__O2,failed_numerical,,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N1__inner__subject_09__3__2,18__center_fNIRS,eeg_fnirs_single_trial|subject_09|session_05|event=4|offset=-5.0|duration=30.0,failed_domain,O0,center_fNIRS,v3_S2__subject_09__2__18__O0,completed,,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N1__inner__subject_09__3__2,18__center_fNIRS,eeg_fnirs_single_trial|subject_09|session_05|event=4|offset=-5.0|duration=30.0,failed_domain,O1,center_fNIRS,v3_S2__subject_09__2__18__O1,failed_domain,linear_reference_mean_physical_check,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N1__inner__subject_09__3__2,18__center_fNIRS,eeg_fnirs_single_trial|subject_09|session_05|event=4|offset=-5.0|duration=30.0,failed_domain,O2,center_fNIRS,v3_S2__subject_09__2__18__O2,failed_numerical,,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N1__inner__subject_09__3__2,22__center_fNIRS,eeg_fnirs_single_trial|subject_09|session_05|event=14|offset=-5.0|duration=30.0,failed_domain,O0,center_fNIRS,v3_S2__subject_09__2__22__O0,completed,,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N1__inner__subject_09__3__2,22__center_fNIRS,eeg_fnirs_single_trial|subject_09|session_05|event=14|offset=-5.0|duration=30.0,failed_domain,O1,center_fNIRS,v3_S2__subject_09__2__22__O1,failed_domain,linear_reference_mean_physical_check,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N1__inner__subject_09__3__2,22__center_fNIRS,eeg_fnirs_single_trial|subject_09|session_05|event=14|offset=-5.0|duration=30.0,failed_domain,O2,center_fNIRS,v3_S2__subject_09__2__22__O2,failed_numerical,,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N1__inner__subject_18__2__2,3__center_EEG,eeg_fnirs_single_trial|subject_18|session_01|event=6|offset=-5.0|duration=30.0,failed_domain,O0,center_EEG,,preparation_dependency_unavailable,,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N1__inner__subject_18__2__2,3__center_EEG,eeg_fnirs_single_trial|subject_18|session_01|event=6|offset=-5.0|duration=30.0,failed_domain,O1,center_EEG,,preparation_dependency_unavailable,,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N1__inner__subject_18__2__2,3__center_EEG,eeg_fnirs_single_trial|subject_18|session_01|event=6|offset=-5.0|duration=30.0,failed_domain,O2,center_EEG,,preparation_dependency_unavailable,,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N6__failure_trace__subject_01__4__0p0,,eeg_fnirs_single_trial|subject_01|session_01|event=10|offset=-5.0|duration=30.0,failed_domain,O0,full,,preparation_dependency_unavailable,,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N6__failure_trace__subject_01__4__0p0,,eeg_fnirs_single_trial|subject_01|session_01|event=10|offset=-5.0|duration=30.0,failed_domain,O1,full,,preparation_dependency_unavailable,,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N6__failure_trace__subject_01__4__0p0,,eeg_fnirs_single_trial|subject_01|session_01|event=10|offset=-5.0|duration=30.0,failed_domain,O2,full,,preparation_dependency_unavailable,,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N6__failure_trace__subject_01__4__m0p5,,eeg_fnirs_single_trial|subject_01|session_01|event=10|offset=-5.0|duration=30.0,failed_domain,O0,full,,preparation_dependency_unavailable,,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N6__failure_trace__subject_01__4__m0p5,,eeg_fnirs_single_trial|subject_01|session_01|event=10|offset=-5.0|duration=30.0,failed_domain,O1,full,,preparation_dependency_unavailable,,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N6__failure_trace__subject_01__4__m0p5,,eeg_fnirs_single_trial|subject_01|session_01|event=10|offset=-5.0|duration=30.0,failed_domain,O2,full,,preparation_dependency_unavailable,,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N6__failure_trace__subject_01__7__0p0,,eeg_fnirs_single_trial|subject_01|session_01|event=17|offset=-5.0|duration=30.0,failed_domain,O0,full,v3_S2__subject_01__3__7__O0,completed,,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N6__failure_trace__subject_01__7__0p0,,eeg_fnirs_single_trial|subject_01|session_01|event=17|offset=-5.0|duration=30.0,failed_domain,O1,full,v3_S2__subject_01__3__7__O1,failed_domain,linear_reference_mean_physical_check,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N6__failure_trace__subject_01__7__0p0,,eeg_fnirs_single_trial|subject_01|session_01|event=17|offset=-5.0|duration=30.0,failed_domain,O2,full,v3_S2__subject_01__3__7__O2,failed_domain,MAP_path_physical_check,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N6__failure_trace__subject_01__7__m0p5,,eeg_fnirs_single_trial|subject_01|session_01|event=17|offset=-5.0|duration=30.0,failed_domain,O0,full,v3_S2__subject_01__3__7__O0,completed,,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N6__failure_trace__subject_01__7__m0p5,,eeg_fnirs_single_trial|subject_01|session_01|event=17|offset=-5.0|duration=30.0,failed_domain,O1,full,v3_S2__subject_01__3__7__O1,failed_domain,linear_reference_mean_physical_check,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N6__failure_trace__subject_01__7__m0p5,,eeg_fnirs_single_trial|subject_01|session_01|event=17|offset=-5.0|duration=30.0,failed_domain,O2,full,v3_S2__subject_01__3__7__O2,failed_domain,MAP_path_physical_check,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N6__failure_trace__subject_09__12__m0p5,,eeg_fnirs_single_trial|subject_09|session_03|event=10|offset=-5.0|duration=30.0,failed_domain,O0,full,,preparation_dependency_unavailable,,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N6__failure_trace__subject_09__12__m0p5,,eeg_fnirs_single_trial|subject_09|session_03|event=10|offset=-5.0|duration=30.0,failed_domain,O1,full,,preparation_dependency_unavailable,,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
N6__failure_trace__subject_09__12__m0p5,,eeg_fnirs_single_trial|subject_09|session_03|event=10|offset=-5.0|duration=30.0,failed_domain,O2,full,,preparation_dependency_unavailable,,"same trial, new feature contract and outer-fold context; not a same-input failure reproduction"
