task_id,subject,solver,role,condition,replay,absolute_innovations,standardized_innovations
v3_S2__subject_01__1__1__O0,subject_01,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.014224492999442138, 0.010210951666934108], ""gap_nrmse_training_sd"": [0.0, 0.12194273377853936, 0.4736216786631863], ""nfev"": 18086, ""method"": ""DOP853""}","[0.016718172611334507, 0.0011613256206051178, 0.006586012602557945, 0.0008197074074393749, 0.0013201749259055646, 0.0005650680050876043]","[0.4179543152833627, 0.23226512412102357, 2.1953375341859815, 0.40985370371968743, 0.6600874629527823, 0.2825340025438022]"
v3_S2__subject_01__1__5__O0,subject_01,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.026819827671710008, 0.012855434285485195], ""gap_nrmse_training_sd"": [0.0, 0.22991913355969168, 0.5962825566937499], ""nfev"": 17642, ""method"": ""DOP853""}","[0.018178590147663216, 0.001315767972501928, 0.012432170604899028, 0.0007479836392183117, 0.001639596353172848, 0.0010562070043198075]","[0.4544647536915804, 0.2631535945003856, 4.144056868299676, 0.37399181960915584, 0.8197981765864241, 0.5281035021599038]"
v3_S2__subject_01__1__9__O0,subject_01,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.01629395059331557, 0.011401263101606267], ""gap_nrmse_training_sd"": [0.0, 0.13968363438185655, 0.5288327224728456], ""nfev"": 18110, ""method"": ""DOP853""}","[0.01649889202398905, 0.0015638317623884491, 0.009208048602167278, 0.0012050165625563823, 0.0020580342481935376, 0.0008149773407216155]","[0.4124723005997263, 0.3127663524776898, 3.069349534055759, 0.6025082812781911, 1.0290171240967687, 0.4074886703608077]"
v3_S2__subject_01__1__13__O0,subject_01,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.01524717492957295, 0.006923782140228616], ""gap_nrmse_training_sd"": [0.0, 0.13070990954719103, 0.3211506064192231], ""nfev"": 19490, ""method"": ""DOP853""}","[0.014674489445727945, 0.0009416845068493008, 0.0007967249106148869, 0.0015619124391354398, 0.0015902587721226275, 0.0009290900318787388]","[0.36686223614319863, 0.18833690136986017, 0.2655749702049623, 0.7809562195677199, 0.7951293860613138, 0.4645450159393694]"
v3_S2__subject_01__1__17__O0,subject_01,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.013415516134974327, 0.009634455309417976], ""gap_nrmse_training_sd"": [0.0, 0.11500759377596319, 0.4468816468330302], ""nfev"": 19022, ""method"": ""DOP853""}","[0.013135821354568923, 0.001462500055713688, 0.0033101729754465483, 0.0016198152877158548, 0.0020294022508742524, 0.0008972155170127365]","[0.3283955338642231, 0.2925000111427376, 1.103390991815516, 0.8099076438579274, 1.014701125437126, 0.44860775850636825]"
v3_S2__subject_01__1__21__O0,subject_01,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.008749933524025087, 0.010128877025106618], ""gap_nrmse_training_sd"": [0.0, 0.07501081510194799, 0.46981475342193824], ""nfev"": 18434, ""method"": ""DOP853""}","[0.017596662857919956, 0.0012935862356074075, 0.006847731881269123, 0.0008952320780459949, 0.0016028172378012703, 0.0005071160241128826]","[0.4399165714479989, 0.2587172471214815, 2.282577293756374, 0.44761603902299746, 0.8014086189006351, 0.2535580120564413]"
v3_S2__subject_01__2__2__O0,subject_01,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.03183594102313511, 0.06529813170827081], ""gap_nrmse_training_sd"": [0.0, 0.3054174172760561, 2.8864821481872633], ""nfev"": 10106, ""method"": ""DOP853""}","[0.02418336992154086, 0.0013854592697707707, 0.03405210711738485, 0.001385767146799592, 0.0024384328773035292, 0.0026823163251769038]","[0.6045842480385215, 0.27709185395415414, 11.350702372461617, 0.692883573399796, 1.2192164386517645, 1.3411581625884519]"
v3_S2__subject_01__2__6__O0,subject_01,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.032837096883342846, 0.01453068145555773], ""gap_nrmse_training_sd"": [0.0, 0.31502198454464203, 0.6423239306424224], ""nfev"": 18050, ""method"": ""DOP853""}","[0.019390623703227895, 0.0014066821561839148, 0.014903415068980916, 0.0006960270592852043, 0.0018324307705409148, 0.0012168710818365935]","[0.48476559258069735, 0.2813364312367829, 4.967805022993638, 0.3480135296426022, 0.9162153852704574, 0.6084355409182968]"
v3_S2__subject_01__2__10__O0,subject_01,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.015065888309095273, 0.008663651680404942], ""gap_nrmse_training_sd"": [0.0, 0.14453427630707036, 0.3829738349226605], ""nfev"": 19466, ""method"": ""DOP853""}","[0.011132111752409102, 0.0011495534061310441, 0.0027545170110573405, 0.0017217779693227164, 0.001927494719478566, 0.0010112802051499166]","[0.27830279381022754, 0.22991068122620884, 0.9181723370191135, 0.8608889846613581, 0.9637473597392829, 0.5056401025749583]"
v3_S2__subject_01__2__14__O0,subject_01,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.014658885554156733, 0.008570388854445317], ""gap_nrmse_training_sd"": [0.0, 0.14062970410839604, 0.3788511827857716], ""nfev"": 19286, ""method"": ""DOP853""}","[0.012551580625402643, 0.0012718896766006449, 0.002235726425073459, 0.0016690659958182906, 0.0018584771678667562, 0.0009587841388690929]","[0.3137895156350661, 0.254377935320129, 0.745242141691153, 0.8345329979091453, 0.9292385839333781, 0.4793920694345465]"
v3_S2__subject_01__2__18__O0,subject_01,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.010849874969637983, 0.007010053262812889], ""gap_nrmse_training_sd"": [0.0, 0.10408804277488992, 0.3098770680201306], ""nfev"": 19658, ""method"": ""DOP853""}","[0.015102622152614426, 0.0009317550541579827, 0.0010837062664533718, 0.0013426350845443195, 0.0014304498391976706, 0.0008076272057915319]","[0.37756555381536067, 0.18635101083159655, 0.3612354221511239, 0.6713175422721597, 0.7152249195988353, 0.40381360289576596]"
v3_S2__subject_01__2__22__O0,subject_01,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.036543724675705276, 0.016850225382630955], ""gap_nrmse_training_sd"": [0.0, 0.3505814387578632, 0.7448585968308119], ""nfev"": 18374, ""method"": ""DOP853""}","[0.018590837930070558, 0.001408401712122391, 0.015089754596539596, 0.001137880664629423, 0.002143364353779349, 0.0014113026606948488]","[0.46477094825176396, 0.2816803424244782, 5.029918198846532, 0.5689403323147115, 1.0716821768896745, 0.7056513303474243]"
v3_S2__subject_01__3__3__O0,subject_01,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.014049911086598534, 0.010904207680041769], ""gap_nrmse_training_sd"": [0.0, 0.1800256140857487, 0.47616161916791816], ""nfev"": 19778, ""method"": ""DOP853""}","[0.013438240387790179, 0.001281359616254649, 0.002109456917936221, 0.0018531528652696357, 0.0020016790300614227, 0.001150948843710698]","[0.3359560096947545, 0.2562719232509298, 0.7031523059787403, 0.9265764326348178, 1.0008395150307112, 0.575474421855349]"
v3_S2__subject_01__3__7__O0,subject_01,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.009574512615335288, 0.013015270321763101], ""gap_nrmse_training_sd"": [0.0, 0.12268102641529088, 0.568346859502875], ""nfev"": 18350, ""method"": ""DOP853""}","[0.01446116882487417, 0.0011286652470696027, 0.0032926683385118916, 0.0017697431480863187, 0.001916944877252844, 0.0011603592499604967]","[0.3615292206218543, 0.22573304941392053, 1.0975561128372973, 0.8848715740431593, 0.958472438626422, 0.5801796249802483]"
v3_S2__subject_01__3__11__O0,subject_01,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.01754785513220618, 0.006470681421745905], ""gap_nrmse_training_sd"": [0.0, 0.22484579273077662, 0.2825597451282673], ""nfev"": 19382, ""method"": ""DOP853""}","[0.013715784722133894, 0.0008848979377345436, 0.0005779488522382339, 0.0016760633860013804, 0.001689034457444656, 0.0010169751639528114]","[0.34289461805334737, 0.1769795875469087, 0.1926496174127446, 0.8380316930006901, 0.844517228722328, 0.5084875819764058]"
v3_S2__subject_01__3__15__O0,subject_01,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.008051215862357398, 0.004593726584911834], ""gap_nrmse_training_sd"": [0.0, 0.10316258023442874, 0.20059745309967822], ""nfev"": 19178, ""method"": ""DOP853""}","[0.013204353120157048, 0.001110433222023273, 0.0034832722797637056, 0.0007319170508793132, 0.0009728248330911573, 0.0007495300927250964]","[0.3301088280039262, 0.2220866444046546, 1.1610907599212352, 0.3659585254396566, 0.48641241654557865, 0.37476504636254815]"
v3_S2__subject_01__3__19__O0,subject_01,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.0059923732558332275, 0.0044914127227015], ""gap_nrmse_training_sd"": [0.0, 0.07678202862375305, 0.1961296425330687], ""nfev"": 18830, ""method"": ""DOP853""}","[0.012191441413663982, 0.0011751423740292964, 0.002057464679819128, 0.000746862571329309, 0.0010795527028745642, 0.00041280021141953466]","[0.30478603534159954, 0.23502847480585926, 0.6858215599397093, 0.3734312856646545, 0.5397763514372821, 0.20640010570976733]"
v3_S2__subject_01__3__23__O0,subject_01,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.008816925200199003, 0.0022222906460538645], ""gap_nrmse_training_sd"": [0.0, 0.11297383760869158, 0.09704231094419817], ""nfev"": 18998, ""method"": ""DOP853""}","[0.013593383940550431, 0.0011505829076195375, 0.0018533120029143148, 0.000668815602182978, 0.0010018302351859866, 0.00040323214669239755]","[0.3398345985137608, 0.2301165815239075, 0.617770667638105, 0.334407801091489, 0.5009151175929932, 0.20161607334619877]"
v3_S2__subject_01__3__7__O2,subject_01,O2,fixed,,"{""status"": ""failed_numerical"", ""error"": ""FloatingPointError('r-driven integration failed: Required step size is less than spacing between numbers.')"", ""traceback"": ""Traceback (most recent call last):\n  File \""/SSD_2/pid-mcm-implementation/experiments/runs/physiology_semantic_tokenizer/ssm_overnight/20260910_observation_contract_v3_v1/source_snapshot/experiments/evaluate_ssm_overnight_diagnostics.py\"", line 2639, in v3_fit_row\n    replay_z, replay_physical, replay_detail = driver_replay(z, p, c)\n                                               ^^^^^^^^^^^^^^^^^^^^^^\n  File \""/SSD_2/pid-mcm-implementation/experiments/runs/physiology_semantic_tokenizer/ssm_overnight/20260910_observation_contract_v3_v1/source_snapshot/experiments/evaluate_ssm_overnight_diagnostics.py\"", line 1226, in driver_replay\n    raise FloatingPointError('r-driven integration failed: '+result.message)\nFloatingPointError: r-driven integration failed: Required step size is less than spacing between numbers.\n""}","[0.02793235280357919, 0.002758739174122643, 0.00163959044977533, 0.0027680263904125745, 0.006038440813149225, 0.004370172653399432]","[0.6983088200894797, 0.5517478348245286, 0.54653014992511, 1.3840131952062873, 3.0192204065746124, 2.185086326699716]"
v3_S2__subject_01__3__11__O2,subject_01,O2,fixed,,"{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.029894198825306268, 0.023809395264478814], ""gap_nrmse_training_sd"": [0.0, 0.3830431002699061, 1.0397014192323022], ""nfev"": 17978, ""method"": ""DOP853""}","[0.026233571282407983, 0.0013510180110345219, 0.0003484363346187799, 0.001547059339079936, 0.002557871058436962, 0.0018202101147662228]","[0.6558392820601996, 0.27020360220690437, 0.11614544487292662, 0.7735296695399679, 1.278935529218481, 0.9101050573831114]"
v3_S2__subject_01__3__15__O2,subject_01,O2,fixed,,"{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.04425854304801182, 0.03876812223219233], ""gap_nrmse_training_sd"": [0.0, 0.5670976379600587, 1.6929145515054749], ""nfev"": 17198, ""method"": ""DOP853""}","[0.02650602513347368, 0.0013860208694554494, 0.0005982941910125555, 0.0011891922051432008, 0.003061721772788447, 0.0028438360247543077]","[0.662650628336842, 0.27720417389108987, 0.19943139700418516, 0.5945961025716003, 1.5308608863942235, 1.4219180123771538]"
v3_S2__subject_01__3__19__O2,subject_01,O2,fixed,,"{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.031158308911546747, 0.022304667284836942], ""gap_nrmse_training_sd"": [0.0, 0.3992405119933511, 0.9739934162102247], ""nfev"": 17990, ""method"": ""DOP853""}","[0.026611189860298014, 0.0016032049163046144, 0.0004139787747954155, 0.0009594309129808186, 0.0023004958890359495, 0.0019350754413572045]","[0.6652797465074504, 0.3206409832609229, 0.13799292493180518, 0.4797154564904093, 1.1502479445179747, 0.9675377206786022]"
v3_S2__subject_01__3__23__O2,subject_01,O2,fixed,,"{""status"": ""completed"", ""path_kind"": ""MAP"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.03373744041087093, 0.02232160769960109], ""gap_nrmse_training_sd"": [0.0, 0.43228767713994154, 0.974733165081501], ""nfev"": 18314, ""method"": ""DOP853""}","[0.026426254098399063, 0.001521571070711708, 0.00032197617437653206, 0.0016725134993164608, 0.0028410438411269954, 0.002503184331749865]","[0.6606563524599766, 0.3043142141423416, 0.10732539145884402, 0.8362567496582304, 1.4205219205634978, 1.2515921658749325]"
v3_S2__subject_09__1__1__O0,subject_09,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.007610740788029771, 0.005549083426405061], ""gap_nrmse_training_sd"": [0.0, 0.060048646121352384, 0.22728881435622963], ""nfev"": 19286, ""method"": ""DOP853""}","[0.013361995619789437, 0.0010317335840152732, 0.0015110069709421334, 0.0009972092398696272, 0.0011889710647547528, 0.0005595906556404063]","[0.3340498904947359, 0.20634671680305464, 0.5036689903140444, 0.4986046199348136, 0.5944855323773764, 0.27979532782020317]"
v3_S2__subject_09__1__5__O0,subject_09,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.010685761718988704, 0.007284599512197866], ""gap_nrmse_training_sd"": [0.0, 0.08431052138970008, 0.2983750394360284], ""nfev"": 19898, ""method"": ""DOP853""}","[0.015770567329927557, 0.001002462966032799, 0.0013504264849245784, 0.0013610808546562962, 0.0014601040731980236, 0.000796119960905203]","[0.3942641832481889, 0.20049259320655982, 0.45014216164152615, 0.6805404273281481, 0.7300520365990119, 0.3980599804526015]"
v3_S2__subject_09__1__9__O0,subject_09,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.007813779863397081, 0.007785913087324123], ""gap_nrmse_training_sd"": [0.0, 0.06165062179298664, 0.31890869506083613], ""nfev"": 17846, ""method"": ""DOP853""}","[0.014840252321301015, 0.0014548275841801944, 0.006007955140448106, 0.000650047531721061, 0.0014196276560960708, 0.0004891906967053173]","[0.3710063080325254, 0.2909655168360389, 2.002651713482702, 0.3250237658605305, 0.7098138280480354, 0.24459534835265864]"
v3_S2__subject_09__1__13__O0,subject_09,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.06993937495853803, 0.0323333677016514], ""gap_nrmse_training_sd"": [0.0, 0.5518207614479849, 1.324365168864179], ""nfev"": 16970, ""method"": ""DOP853""}","[0.022387491326499205, 0.001258675434889254, 0.03204825195802359, 0.0013702167475351476, 0.002510843396166976, 0.0032547841345270685]","[0.5596872831624801, 0.2517350869778508, 10.68275065267453, 0.6851083737675737, 1.255421698083488, 1.6273920672635342]"
v3_S2__subject_09__1__17__O0,subject_09,O0,fixed,,"{""status"": ""completed"", ""path_kind"": ""posterior_mean"", ""initial_state"": ""same fitted initial five-state vector"", ""gap_rmse_coordinate"": [0.0, 0.006148105444782101, 0.0062053944643019375], ""gap_nrmse_training_sd"": [0.0, 0.048508472230605684, 0.2541711201695931], ""nfev"": 17642, ""method"": ""DOP853""}","[0.015684230313572287, 0.0011773821153296833, 0.0025823242084383065, 0.0008350550756724709, 0.0011169055274302486, 0.00046370023651169017]","[0.3921057578393072, 0.23547642306593666, 0.8607747361461021, 0.4175275378362355, 0.5584527637151243, 0.2318501182558451]"
